DisplayName , LogicalName , PrimaryIdAttribute , PrimaryNameAttribute
MockSmsProvider channel instance account , msdynmkt_mocksmsproviderchannelinstanceaccount , msdynmkt_mocksmsproviderchannelinstanceaccountid , msdynmkt_name
Predefined Placeholder , msdynmkt_predefinedplaceholder , msdynmkt_predefinedplaceholderid , msdynmkt_description
TeleSign channel instance , msdynmkt_telesignchannelinstance , msdynmkt_telesignchannelinstanceid , msdynmkt_name
TeleSign channel instance account , msdynmkt_telesignchannelinstanceaccount , msdynmkt_telesignchannelinstanceaccountid , msdynmkt_name
TrackingContext , msdynmkt_trackingcontext , msdynmkt_trackingcontextid , msdynmkt_contexttype
Twilio channel instance , msdynmkt_twiliochannelinstance , msdynmkt_twiliochannelinstanceid , msdynmkt_name
Twilio channel instance account , msdynmkt_twiliochannelinstanceaccount , msdynmkt_twiliochannelinstanceaccountid , msdynmkt_name
Vibes channel instance , msdynmkt_vibeschannelinstance , msdynmkt_vibeschannelinstanceid , msdynmkt_name
Vibes channel instance account , msdynmkt_vibeschannelinstanceaccount , msdynmkt_vibeschannelinstanceaccountid , msdynmkt_name
Customer Voice alert , msfp_alert , activityid , subject
Customer Voice alert rule , msfp_alertrule , msfp_alertruleid , msfp_name
Customer Voice survey email template , msfp_emailtemplate , msfp_emailtemplateid , msfp_name
Customer Voice file response , msfp_fileresponse , msfp_fileresponseid , msfp_name
Customer Voice localized survey email template , msfp_localizedemailtemplate , msfp_localizedemailtemplateid , msfp_name
Customer Voice project , msfp_project , msfp_projectid , msfp_name
Customer Voice survey question , msfp_question , msfp_questionid , msfp_name
Customer Voice survey question response , msfp_questionresponse , msfp_questionresponseid , msfp_name
Customer Voice satisfaction metric , msfp_satisfactionmetric , msfp_satisfactionmetricid , msfp_name
Customer Voice survey , msfp_survey , msfp_surveyid , msfp_name
Customer Voice survey invite , msfp_surveyinvite , activityid , subject
Customer Voice survey reminder , msfp_surveyreminder , msfp_surveyreminderid , msfp_name
Customer Voice survey response , msfp_surveyresponse , activityid , subject
Customer Voice unsubscribed recipient , msfp_unsubscribedrecipient , msfp_unsubscribedrecipientid , msfp_name
Ms Graph Resource To Subscription , msgraphresourcetosubscription , msgraphresourcetosubscriptionid , resourceid
Catalog Submission Files , mspcat_catalogsubmissionfiles , mspcat_catalogsubmissionfilesid , mspcat_name
Package Submission Store , mspcat_packagestore , mspcat_packagestoreid , mspcat_name
mspp_accesscontrolrule_publishingstate , mspp_accesscontrolrule_publishingstate , mspp_accesscontrolrule_publishingstateid , 
Ad Placement , mspp_adplacement , mspp_adplacementid , mspp_name
Column Permission , mspp_columnpermission , mspp_columnpermissionid , mspp_columnname
Column Permission Profile , mspp_columnpermissionprofile , mspp_columnpermissionprofileid , mspp_profilename
mspp_columnpermissionprofile_webrole , mspp_columnpermissionprofile_webrole , mspp_columnpermissionprofile_webroleid , 
Content Snippet , mspp_contentsnippet , mspp_contentsnippetid , mspp_name
Basic Form , mspp_entityform , mspp_entityformid , mspp_name
Basic Form Metadata , mspp_entityformmetadata , mspp_entityformmetadataid , mspp_name
List , mspp_entitylist , mspp_entitylistid , mspp_name
Table Permission , mspp_entitypermission , mspp_entitypermissionid , mspp_entityname
mspp_entitypermission_webrole , mspp_entitypermission_webrole , mspp_entitypermission_webroleid , 
Page Template , mspp_pagetemplate , mspp_pagetemplateid , mspp_name
Poll Placement , mspp_pollplacement , mspp_pollplacementid , mspp_name
Power Pages Core Entity DS , mspp_powerpagescoreentityds , mspp_powerpagescoreentitydsid , mspp_name
Publishing State , mspp_publishingstate , mspp_publishingstateid , mspp_name
Publishing State Transition Rule , mspp_publishingstatetransitionrule , mspp_publishingstatetransitionruleid , mspp_name
mspp_publishingstatetransitionrule_webrole , mspp_publishingstatetransitionrule_webrole , mspp_publishingstatetransitionrule_webroleid , 
Redirect , mspp_redirect , mspp_redirectid , mspp_name
Shortcut , mspp_shortcut , mspp_shortcutid , mspp_name
Site Marker , mspp_sitemarker , mspp_sitemarkerid , mspp_name
Site Setting , mspp_sitesetting , mspp_sitesettingid , mspp_name
Web File , mspp_webfile , mspp_webfileid , mspp_name
Multistep Form , mspp_webform , mspp_webformid , mspp_name
Multistep Form Metadata , mspp_webformmetadata , mspp_webformmetadataid , mspp_attributelogicalname
Form Step , mspp_webformstep , mspp_webformstepid , mspp_name
Web Link , mspp_weblink , mspp_weblinkid , mspp_name
Web Link Set , mspp_weblinkset , mspp_weblinksetid , mspp_name
Web Page , mspp_webpage , mspp_webpageid , mspp_name
Web Page Access Control Rule , mspp_webpageaccesscontrolrule , mspp_webpageaccesscontrolruleid , mspp_name
mspp_webpageaccesscontrolrule_webrole , mspp_webpageaccesscontrolrule_webrole , mspp_webpageaccesscontrolrule_webroleid , 
Web Role , mspp_webrole , mspp_webroleid , mspp_name
Website , mspp_website , mspp_websiteid , mspp_name
Website Access , mspp_websiteaccess , mspp_websiteaccessid , mspp_name
mspp_websiteaccess_webrole , mspp_websiteaccess_webrole , mspp_websiteaccess_webroleid , 
Website Language , mspp_websitelanguage , mspp_websitelanguageid , mspp_name
Web Template , mspp_webtemplate , mspp_webtemplateid , mspp_name
MultiEntitySearch , multientitysearch , multientitysearchid , name
MultiEntitySearchEntities , multientitysearchentities , multientitysearchentityid , 
Multi Select Option Value , multiselectattributeoptionvalues , multiselectfulltextidkey , 
Navigation Setting , navigationsetting , navigationsettingid , name
New Process , newprocess , businessprocessflowinstanceid , name
NL2SQ Registration Information , nlsqregistration , nlsqregistrationid , name
Notification , notification , notificationid , 
Office Document , officedocument , officedocumentid , name
Office Graph Document , officegraphdocument , officegraphdocumentid , title
Offline Command Definition , offlinecommanddefinition , commanddefinitionid , commandname
Opportunity , opportunity , opportunityid , name
Opportunity Close , opportunityclose , activityid , subject
OpportunityCompetitors , opportunitycompetitors , opportunitycompetitorid , name
Opportunity Product , opportunityproduct , opportunityproductid , opportunityproductname
Opportunity Sales Process , opportunitysalesprocess , businessprocessflowinstanceid , name
OptionSet , optionset , optionsetid , name
Order Close , orderclose , activityid , subject
Organization , organization , organizationid , name
OrganizationDataSyncFnoState , organizationdatasyncfnostate , organizationdatasyncfnostateid , name
OrganizationDataSyncState , organizationdatasyncstate , organizationdatasyncstateid , name
OrganizationDataSyncSubscription , organizationdatasyncsubscription , organizationdatasyncsubscriptionid , name
OrganizationDataSyncSubscriptionEntity , organizationdatasyncsubscriptionentity , organizationdatasyncsubscriptionentityid , name
OrganizationDataSyncSubscriptionFnoTable , organizationdatasyncsubscriptionfnotable , organizationdatasyncsubscriptionfnotableid , name
Organization Setting , organizationsetting , organizationsettingid , displayname
Organization Statistic , organizationstatistic , organizationstatisticid , 
Organization UI , organizationui , formid , 
Organization Insights Metric , orginsightsmetric , orginsightsmetricid , 
Organization Insights Notification , orginsightsnotification , orginsightsnotificationid , 
Owner , owner , ownerid , name
Owner Mapping , ownermapping , ownermappingid , 
Package , package , packageid , packageuniquename
package_solution , package_solution , package_solutionid , 
Package History , packagehistory , packagehistoryid , executionname
Partner Application , partnerapplication , partnerapplicationid , name
PDF Setting , pdfsetting , pdfsettingid , entityname
Personal Document Template , personaldocumenttemplate , personaldocumenttemplateid , name
Phone Call , phonecall , activityid , subject
Phone To Case Process , phonetocaseprocess , businessprocessflowinstanceid , name
List Value Mapping , picklistmapping , picklistmappingid , 
Planner Business Scenario , plannerbusinessscenario , plannerbusinessscenarioid , uniquename
Planner Sync Action , plannersyncaction , plannersyncactionid , title
Plug-in Assembly , pluginassembly , pluginassemblyid , name
Plugin Package , pluginpackage , pluginpackageid , name
Plug-in Trace Log , plugintracelog , plugintracelogid , typename
Plug-in Type , plugintype , plugintypeid , name
Plug-in Type Statistic , plugintypestatistic , plugintypestatisticid , 
Position , position , positionid , name
Post , post , postid , text
Comment , postcomment , postcommentid , text
Follow , postfollow , postfollowid , regardingobjectidname
Like , postlike , postlikeid , 
Post Regarding , postregarding , postregardingid , 
Post Role , postrole , postroleid , 
Power BI Dataset , powerbidataset , powerbidatasetid , name
powerbidatasetapdx , powerbidatasetapdx , powerbidatasetapdxid , name
Power BI Mashup Parameter , powerbimashupparameter , powerbimashupparameterid , name
Power BI Report , powerbireport , powerbireportid , name
powerbireportapdx , powerbireportapdx , powerbireportapdxid , name
PowerfxRule , powerfxrule , powerfxruleid , name
Site Component , powerpagecomponent , powerpagecomponentid , name
powerpagecomponent_mspp_webrole_account , powerpagecomponent_mspp_webrole_account , powerpagecomponent_mspp_webrole_accountid , 
powerpagecomponent_mspp_webrole_contact , powerpagecomponent_mspp_webrole_contact , powerpagecomponent_mspp_webrole_contactid , 
powerpagecomponent_powerpagecomponent , powerpagecomponent_powerpagecomponent , powerpagecomponent_powerpagecomponentid , 
powerpagecomponent_webrole_systemuser , powerpagecomponent_webrole_systemuser , powerpagecomponent_webrole_systemuserid , 
Site , powerpagesite , powerpagesiteid , name
powerpagesite_dvfilesearch , powerpagesite_dvfilesearch , powerpagesite_dvfilesearchid , 
Site Language , powerpagesitelanguage , powerpagesitelanguageid , name
Power Pages Site Published , powerpagesitepublished , powerpagesitepublishedid , name
Power Pages Log , powerpageslog , powerpageslogid , name
Power Pages Scan Report , powerpagesscanreport , powerpagesscanreportid , name
Price List , pricelevel , pricelevelid , name
PrincipalAttributeAccessMap , principalattributeaccessmap , principalattributeaccessmapid , 
PrincipalEntityBusinessUnitMap , principalentitybusinessunitmap , principalentitybusinessunitmapid , 
PrincipalEntityMap , principalentitymap , principalentitymapid , 
PrincipalObjectAccess , principalobjectaccess , principalobjectaccessid , 
PrincipalObjectAccessReadSnapshot , principalobjectaccessreadsnapshot , principalobjectaccessreadsnapshotid , 
Field Sharing , principalobjectattributeaccess , principalobjectattributeaccessid , 
Principal Sync Attribute Map , principalsyncattributemap , principalsyncattributemapid , 
Privilege , privilege , privilegeid , name
Privilege Object Type Code , privilegeobjecttypecodes , privilegeobjecttypecodeid , 
Privileges Removal Setting , privilegesremovalsetting , privilegesremovalsettingid , name
Process Session , processsession , processsessionid , name
Process Stage , processstage , processstageid , stagename
ProcessStageParameter , processstageparameter , processstageparameterid , name
Process Trigger , processtrigger , processtriggerid , 
Product , product , productid , name
Product Association , productassociation , productassociationid , productidname
Price List Item , productpricelevel , productpricelevelid , productidname
ProductSalesLiterature , productsalesliterature , productsalesliteratureid , name
Product Relationship , productsubstitute , productsubstituteid , name
ProvisionLanguageForUser , provisionlanguageforuser , provisionlanguageforuserid , name
Publisher , publisher , publisherid , friendlyname
Publisher Address , publisheraddress , publisheraddressid , name
Quarterly Fiscal Calendar , quarterlyfiscalcalendar , userfiscalcalendarid , 
Queue , queue , queueid , name
Queue Item , queueitem , queueitemid , title
QueueItemCount , queueitemcount , queueitemcountid , 
QueueMemberCount , queuemembercount , queuemembercountid , 
QueueMembership , queuemembership , queuemembershipid , 
Quote , quote , quoteid , name
Quote Close , quoteclose , activityid , subject
Quote Product , quotedetail , quotedetailid , quotedetailname
Rating Model , ratingmodel , ratingmodelid , name
Rating Value , ratingvalue , ratingvalueid , name
Recently Used , recentlyused , recentlyusedid , name
Document Suggestions , recommendeddocument , recommendeddocumentid , title
ReconciliationEntityInfo , reconciliationentityinfo , reconciliationentityinfoid , name
ReconciliationEntityStepInfo , reconciliationentitystepinfo , reconciliationentitystepinfoid , name
ReconciliationInfo , reconciliationinfo , reconciliationinfoid , name
RecordCountSnapshot , recordcountsnapshot , recordcountsnapshotid , 
Record Filter , recordfilter , recordfilterid , displayname
Recurrence Rule , recurrencerule , ruleid , 
Recurring Appointment , recurringappointmentmaster , activityid , subject
Restore Deleted Records Configuration , recyclebinconfig , recyclebinconfigid , name
Relationship Entity , relationship , relationshipid , name
Relationship Attribute , relationshipattribute , relationshipattributeid , name
Relationship Role , relationshiprole , relationshiproleid , name
Relationship Role Map , relationshiprolemap , relationshiprolemapid , 
Replication Backlog , replicationbacklog , replicationbacklogid , 
Report , report , reportid , name
Report Related Category , reportcategory , reportcategoryid , 
Report Related Entity , reportentity , reportentityid , 
Report Link , reportlink , reportlinkid , 
Report Visibility , reportvisibility , reportvisibilityid , 
Resource , resource , resourceid , name
Scheduling Group , resourcegroup , resourcegroupid , name
resource group data source , resourcegroupdatasource , resourcegroupdatasourceid , name
Resource Expansion , resourcegroupexpansion , resourcegroupexpansionid , name
Resource Specification , resourcespec , resourcespecid , name
RetainedData Excel , retaineddataexcel , retaineddataexcelid , name
RetentionCleanupInfo , retentioncleanupinfo , retentioncleanupinfoid , name
RetentionCleanupOperation , retentioncleanupoperation , retentioncleanupoperationid , name
RetentionConfig , retentionconfig , retentionconfigid , name
RetentionFailureDetail , retentionfailuredetail , retentionfailuredetailid , name
RetentionOperation , retentionoperation , retentionoperationid , name
RetentionOperationDetail , retentionoperationdetail , retentionoperationdetailid , name
RevokeInheritedAccessRecordsTracker , revokeinheritedaccessrecordstracker , revokeinheritedaccessrecordstrackerid , revokeinheritedaccessrecordstracker
Ribbon Client Metadata. , ribbonclientmetadata , ribbonid , 
Ribbon Command , ribboncommand , ribboncommandid , 
Ribbon Context Group , ribboncontextgroup , ribboncontextgroupid , 
Application Ribbons , ribboncustomization , ribboncustomizationid , 
Ribbon Difference , ribbondiff , ribbondiffid , 
Ribbon Metadata To Process , ribbonmetadatatoprocess , ribbonmetadatarowid , 
Ribbon Rule , ribbonrule , ribbonruleid , 
Ribbon Tab To Command Mapping , ribbontabtocommandmap , ribbontabtocommandmapid , 
Security Role , role , roleid , name
RoleEditorLayout , roleeditorlayout , roleeditorlayoutid , name
RolePrivileges , roleprivileges , roleprivilegeid , 
Role Template , roletemplate , roletemplateid , name
RoleTemplatePrivileges , roletemplateprivileges , roletemplateprivilegeid , 
Rollup Field , rollupfield , rollupfieldid , 
Rollup Job , rollupjob , rollupjobid , 
Rollup Properties , rollupproperties , rolluppropertiesid , 
Routing Rule Set , routingrule , routingruleid , name
Rule Item , routingruleitem , routingruleitemid , name
RuntimeDependency , runtimedependency , dependencyid , 
Sales Literature , salesliterature , salesliteratureid , name
Sales Attachment , salesliteratureitem , salesliteratureitemid , title
Order , salesorder , salesorderid , name
Order Product , salesorderdetail , salesorderdetailid , salesorderdetailname
Sales Process Instance , salesprocessinstance , salesprocessinstanceid , name
Saved Organization Insights Configuration , savedorginsightsconfiguration , savedorginsightsconfigurationid , 
View , savedquery , savedqueryid , name
System Chart , savedqueryvisualization , savedqueryvisualizationid , name
Sdk Message , sdkmessage , sdkmessageid , name
Sdk Message Filter , sdkmessagefilter , sdkmessagefilterid , name
Sdk Message Pair , sdkmessagepair , sdkmessagepairid , 
Sdk Message Processing Step , sdkmessageprocessingstep , sdkmessageprocessingstepid , name
Sdk Message Processing Step Image , sdkmessageprocessingstepimage , sdkmessageprocessingstepimageid , name
Sdk Message Processing Step Secure Configuration , sdkmessageprocessingstepsecureconfig , sdkmessageprocessingstepsecureconfigid , 
Sdk Message Request , sdkmessagerequest , sdkmessagerequestid , 
Sdk Message Request Field , sdkmessagerequestfield , sdkmessagerequestfieldid , 
Sdk Message Response , sdkmessageresponse , sdkmessageresponseid , 
Sdk Message Response Field , sdkmessageresponsefield , sdkmessageresponsefieldid , 
SearchAttributeSettings , searchattributesettings , searchattributesettingsid , name
SearchCustomAnalyzer , searchcustomanalyzer , searchcustomanalyzerid , name
SearchRelationshipSettings , searchrelationshipsettings , searchrelationshipsettingsid , relationshipsettingname
SearchResultsCache , searchresultscache , searchresultscacheid , searchrequesthash
Search Telemetry , searchtelemetry , searchtelemetryid , userquery
Semiannual Fiscal Calendar , semiannualfiscalcalendar , userfiscalcalendarid , 
Service , service , serviceid , name
Service Activity , serviceappointment , activityid , subject
Service Contract Contact , servicecontractcontacts , servicecontractcontactid , name
Service Endpoint , serviceendpoint , serviceendpointid , name
Service Plan , serviceplan , serviceplanid , name
ServicePlanAppModules , serviceplanappmodules , serviceplanappmodulesid , 
Service Plan Custom Control , serviceplancustomcontrol , serviceplancustomcontrolid , name
Service Plan Mapping , serviceplanmapping , serviceplanmappingid , name
Setting Definition , settingdefinition , settingdefinitionid , displayname
Shared Link Setting , sharedlinksetting , sharedlinksettingid , name
Shared Object , sharedobject , sharedobjectid , objectname
SharedObjectsForRead , sharedobjectsforread , sharedobjectsforreadid , 
Shared Workspace , sharedworkspace , sharedworkspaceid , name
Shared Workspace Access Token , sharedworkspaceaccesstoken , sharedworkspaceaccesstokenid , systemuserid
Shared Workspace Non-Relational , sharedworkspacenr , sharedworkspacenrid , name
Shared Workspace Pool , sharedworkspacepool , sharedworkspacepoolid , name
SharePoint Data , sharepointdata , sharepointdataid , 
Sharepoint Document , sharepointdocument , sharepointdocumentid , fullname
Document Location , sharepointdocumentlocation , sharepointdocumentlocationid , name
SharePoint Site , sharepointsite , sharepointsiteid , name
SideloadedAIPlugin , sideloadedaiplugin , sideloadedaipluginid , name
Similarity Rule , similarityrule , similarityruleid , name
Site , site , siteid , name
Site Map , sitemap , sitemapid , 
SLA , sla , slaid , name
SLA Item , slaitem , slaitemid , name
SLA KPI Instance , slakpiinstance , slakpiinstanceid , name
Social Activity , socialactivity , activityid , subject
SocialInsightsConfiguration , socialinsightsconfiguration , socialinsightsconfigurationid , 
Social Profile , socialprofile , socialprofileid , profilename
Solution , solution , solutionid , friendlyname
Solution Component , solutioncomponent , solutioncomponentid , 
Solution Component Attribute Configuration , solutioncomponentattributeconfiguration , solutioncomponentattributeconfigurationid , name
Solution Component Batch Configuration , solutioncomponentbatchconfiguration , solutioncomponentbatchconfigurationid , name
Solution Component Configuration , solutioncomponentconfiguration , solutioncomponentconfigurationid , name
Solution Component Definition , solutioncomponentdefinition , solutioncomponentdefinitionid , name
Solution Component Relationship Configuration , solutioncomponentrelationshipconfiguration , solutioncomponentrelationshipconfigurationid , name
SolutionHistoryData , solutionhistorydata , solutionhistorydataid , 
SqlEncryptionAudit , sqlencryptionaudit , createdon , 
Staged Entity , stagedentity , stagedentityid , name
Staged Entity Attribute , stagedentityattribute , stagedentityattributeid , name
Staged Metadata Async Operation , stagedmetadataasyncoperation , stagedmetadataasyncoperationid , name
StageSolutionUpload , stagesolutionupload , stagesolutionuploadid , name
Status Map , statusmap , statusmapid , 
String Map , stringmap , stringmapid , 
Subject , subject , subjectid , title
Subscription , subscription , subscriptionid , 
Subscription Clients , subscriptionclients , subscriptionclientid , 
Subscription Manually Tracked Object , subscriptionmanuallytrackedobject , subscriptionmanuallytrackedobjectid , 
Subscription Statistic Offline , subscriptionstatisticsoffline , subscriptionid , 
Subscription Statistic Outlook , subscriptionstatisticsoutlook , subscriptionid , 
Subscription Sync Entry Offline , subscriptionsyncentryoffline , subscriptionid , 
Subscription Sync Entry Outlook , subscriptionsyncentryoutlook , subscriptionid , 
Subscription Synchronization Information , subscriptionsyncinfo , subscriptionsyncinfoid , 
Tracking information for deleted entities , subscriptiontrackingdeletedobject , timestamp , 
SuggestionCardTemplate , suggestioncardtemplate , suggestioncardtemplateid , name
SupportUserTable , supportusertable , supportusertableid , aaduserobjectid
Synapse Database , synapsedatabase , synapsedatabaseid , name
Synapse Link External Table State , synapselinkexternaltablestate , synapselinkexternaltablestateid , name
Synapse Link Profile , synapselinkprofile , synapselinkprofileid , name
Synapse Link Profile Entity , synapselinkprofileentity , synapselinkprofileentityid , name
Synapse Link Profile Entity State , synapselinkprofileentitystate , synapselinkprofileentitystateid , name
Synapse Link Schedule , synapselinkschedule , synapselinkscheduleid , name
Sync Attribute Mapping , syncattributemapping , syncattributemappingid , 
Sync Attribute Mapping Profile , syncattributemappingprofile , syncattributemappingprofileid , name
Sync Error , syncerror , syncerrorid , name
System Application Metadata , systemapplicationmetadata , systemapplicationmetadataid , 
System Form , systemform , formid , name
User , systemuser , systemuserid , fullname
SystemUserAuthorizationChangeTracker , systemuserauthorizationchangetracker , systemuserid , 
SystemUser BusinessUnit Entity Map , systemuserbusinessunitentitymap , systemuserbusinessunitentitymapid , 
SystemUserLicenses , systemuserlicenses , systemuserlicenseid , 
System User Manager Map , systemusermanagermap , systemusermanagermapid , 
System User Principal , systemuserprincipals , systemuserprincipalid , 
SystemUserProfiles , systemuserprofiles , systemuserprofileid , 
SystemUserRoles , systemuserroles , systemuserroleid , 
SystemUserSyncMappingProfiles , systemusersyncmappingprofiles , systemusersyncmappingprofileid , 
Task , task , activityid , subject
TdsMetadata , tdsmetadata , tdsmetadataid , tdsmetadataname
Team , team , teamid , name
TeamMembership , teammembership , teammembershipid , 
TeamMobileOfflineProfileMembership , teammobileofflineprofilemembership , teammobileofflineprofilemembershipid , name
Team Profiles , teamprofiles , teamprofileid , 
TeamRoles , teamroles , teamroleid , 
Team Sync-Attribute Mapping Profiles , teamsyncattributemappingprofiles , teamsyncattributemappingprofileid , 
Team template , teamtemplate , teamtemplateid , teamtemplatename
Email Template , template , templateid , title
Territory , territory , territoryid , name
Text Analytics Entity Mapping , textanalyticsentitymapping , textanalyticsentitymappingid , 
Theme , theme , themeid , name
Time Stamp Date Mapping , timestampdatemapping , timestampdatemappingid , 
Time Zone Definition , timezonedefinition , timezonedefinitionid , userinterfacename
Time Zone Localized Name , timezonelocalizedname , timezonelocalizednameid , userinterfacename
Time Zone Rule , timezonerule , timezoneruleid , timezoneruleversionnumber
Text Analytics Topic , topic , topicid , name
Topic History , topichistory , topichistoryid , name
Topic Model , topicmodel , topicmodelid , name
Topic Model Configuration , topicmodelconfiguration , topicmodelconfigurationid , name
Topic Model Execution History , topicmodelexecutionhistory , topicmodelexecutionhistoryid , name
Trace Association , traceassociation , traceassociationid , 
Trace , tracelog , tracelogid , text
Trace Regarding , traceregarding , traceregardingid , 
Currency , transactioncurrency , transactioncurrencyid , currencyname
Transformation Mapping , transformationmapping , transformationmappingid , 
Transformation Parameter Mapping , transformationparametermapping , transformationparametermappingid , data
Translation Process , translationprocess , businessprocessflowinstanceid , name
Unresolved Address , unresolvedaddress , unresolvedaddressid , 
UntrackedEmail , untrackedemail , activityid , subject
Unit , uom , uomid , name
Unit Group , uomschedule , uomscheduleid , name
User Application Metadata , userapplicationmetadata , userapplicationmetadataid , 
User Entity Instance Data , userentityinstancedata , userentityinstancedataid , 
User Entity UI Settings , userentityuisettings , userentityuisettingsid , 
User Fiscal Calendar , userfiscalcalendar , userfiscalcalendarid , 
User Dashboard , userform , userformid , name
User Mapping , usermapping , usermappingid , 
UserMobileOfflineProfileMembership , usermobileofflineprofilemembership , usermobileofflineprofilemembershipid , name
Saved View , userquery , userqueryid , name
User Chart , userqueryvisualization , userqueryvisualizationid , name
User Rating , userrating , userratingid , name
User Search Facet , usersearchfacet , usersearchfacetid , 
User Settings , usersettings , systemuserid , 
Virtual Entity  Metadata , virtualentitymetadata , virtualentitymetadataid , name
Virtual Resource Group Resource , virtualresourcegroupresource , virtualresourcegroupresourceid , name
Web Resource , webresource , webresourceid , name
Web Wizard , webwizard , webwizardid , name
Web Wizard Access Privilege , wizardaccessprivilege , wizardaccessprivilegeid , entityname
Wizard Page , wizardpage , wizardpageid , 
Process , workflow , workflowid , name
Workflow Binary , workflowbinary , workflowbinaryid , name
workflowcardconnections , workflowcardconnections , workflowcardconnectionsid , 
Process Dependency , workflowdependency , workflowdependencyid , 
Process Log , workflowlog , workflowlogid , 
Workflow Wait Subscription , workflowwaitsubscription , workflowwaitsubscriptionid , 
Work Queue , workqueue , workqueueid , name
Work Queue Item , workqueueitem , workqueueitemid , name
Portal Role , ecsm_portal_role , ecsm_portalrole_id , ecsm_name
