DisplayName , LogicalName , PrimaryIdAttribute , PrimaryNameAttribute
Action Input Parameter , msdyn_productivityactioninputparameter , msdyn_productivityactioninputparameterid , msdyn_name
Action Output Parameter , msdyn_productivityactionoutputparameter , msdyn_productivityactionoutputparameterid , msdyn_name
Agent script , msdyn_productivityagentscript , msdyn_productivityagentscriptid , msdyn_name
Agent script step , msdyn_productivityagentscriptstep , msdyn_productivityagentscriptstepid , msdyn_name
Macro Action Template , msdyn_productivitymacroactiontemplate , msdyn_productivitymacroactiontemplateid , msdyn_name
Macro Connector , msdyn_productivitymacroconnector , msdyn_productivitymacroconnectorid , msdyn_name
Macro Solution Configuration , msdyn_productivitymacrosolutionconfiguration , msdyn_productivitymacrosolutionconfigurationid , msdyn_name
Parameter definition , msdyn_productivityparameterdefinition , msdyn_productivityparameterdefinitionid , msdyn_name
Property Definition , msdyn_property , msdyn_propertyid , msdyn_name
Property Asset Association , msdyn_propertyassetassociation , msdyn_propertyassetassociationid , msdyn_name
Property Location Association , msdyn_propertylocationassociation , msdyn_propertylocationassociationid , msdyn_name
Property Log , msdyn_propertylog , msdyn_propertylogid , msdyn_name
Property Template Association , msdyn_propertytemplateassociation , msdyn_propertytemplateassociationid , msdyn_name
Provider , msdyn_provider , msdyn_providerid , msdyn_name
Read Tracker , msdyn_readtracker , msdyn_readtrackerid , msdyn_name
Read tracking enabled information , msdyn_readtrackingenabledinfo , msdyn_readtrackingenabledinfoid , msdyn_name
Real Time Scoring , msdyn_realtimescoring , msdyn_realtimescoringid , msdyn_name
Real Time Scoring Operation , msdyn_realtimescoringoperation , msdyn_realtimescoringoperationid , msdyn_name
Recompute Tracker , msdyn_recomputetracker , msdyn_recomputetrackerid , msdyn_name
Recording , msdyn_recording , msdyn_recordingid , msdyn_name
Forecast Recurrence , msdyn_recurrence , msdyn_recurrenceid , msdyn_forecastrecurrencename
Recurring Sales Action , msdyn_recurringsalesaction , msdyn_recurringsalesactionid , msdyn_triggername
Recurring Sales Action V2 , msdyn_recurringsalesactionv2 , msdyn_recurringsalesactionv2id , msdyn_triggername
Relationship Analytics Metadata , msdyn_relationshipanalyticsmetadata , msdyn_relationshipanalyticsmetadataid , msdyn_name
msdyn_relationshipinsightsunifiedconfig , msdyn_relationshipinsightsunifiedconfig , msdyn_relationshipinsightsunifiedconfigid , new_name
Report Bookmark , msdyn_reportbookmark , msdyn_reportbookmarkid , msdyn_name
Requirement Change , msdyn_requirementchange , msdyn_requirementchangeid , msdyn_name
Requirement Characteristic , msdyn_requirementcharacteristic , msdyn_requirementcharacteristicid , msdyn_name
Requirement Dependency , msdyn_requirementdependency , msdyn_requirementdependencyid , msdyn_name
Requirement Group , msdyn_requirementgroup , msdyn_requirementgroupid , msdyn_name
Requirement Organization Unit , msdyn_requirementorganizationunit , msdyn_requirementorganizationunitid , msdyn_name
Requirement Relationship , msdyn_requirementrelationship , msdyn_requirementrelationshipid , msdyn_name
Requirement Resource Category , msdyn_requirementresourcecategory , msdyn_requirementresourcecategoryid , msdyn_name
Requirement Resource Preference , msdyn_requirementresourcepreference , msdyn_requirementresourcepreferenceid , msdyn_name
Requirement Status , msdyn_requirementstatus , msdyn_requirementstatusid , msdyn_name
Resource Requirement , msdyn_resourcerequirement , msdyn_resourcerequirementid , msdyn_name
Resource Requirement Detail , msdyn_resourcerequirementdetail , msdyn_resourcerequirementdetailid , msdyn_name
Resource Territory , msdyn_resourceterritory , msdyn_resourceterritoryid , msdyn_name
Rich Text Attachment , msdyn_richtextfile , msdyn_richtextfileid , msdyn_name
Routing configuration , msdyn_routingconfiguration , msdyn_routingconfigurationid , msdyn_name
Routing configuration step , msdyn_routingconfigurationstep , msdyn_routingconfigurationstepid , msdyn_name
RoutingRequest , msdyn_routingrequest , msdyn_routingrequestid , msdyn_entitylogicalname
Routing Rule Set Setting , msdyn_routingrulesetsetting , msdyn_routingrulesetsettingid , msdyn_name
Rulesetentitymapping , msdyn_rulesetdependencymapping , msdyn_rulesetdependencymappingid , msdyn_name
sabackupdiagnostic , msdyn_sabackupdiagnostic , msdyn_sabackupdiagnosticid , msdyn_name
SABatchRunInstance , msdyn_sabatchruninstance , msdyn_sabatchruninstanceid , msdyn_name
Sales acceleration insights , msdyn_salesaccelerationinsight , msdyn_salesaccelerationinsightid , msdyn_name
Sales Acceleration settings , msdyn_salesaccelerationsettings , msdyn_salesaccelerationsettingsid , msdyn_name
Sales Assignment Setting , msdyn_salesassignmentsetting , msdyn_salesassignmentsettingid , msdyn_name
Sales Copilot Insight , msdyn_salescopilotinsight , msdyn_salescopilotinsightid , msdyn_name
Org level settings for Sales Copilot apps , msdyn_salescopilotorgsettings , msdyn_salescopilotorgsettingsid , msdyn_name
Sales Copilot User Setting , msdyn_salescopilotusersetting , msdyn_salescopilotusersettingid , msdyn_userid
Salesforce Structured Object , msdyn_salesforcestructuredobject , msdyn_salesforcestructuredobjectid , name
Salesforce Structured QnA Config , msdyn_salesforcestructuredqnaconfig , msdyn_salesforcestructuredqnaconfigid , name
salesinsightssettings , msdyn_salesinsightssettings , msdyn_salesinsightssettingsid , msdyn_name
SalesOmnichannel Message , msdyn_salesocmessage , msdyn_salesocmessageid , msdyn_name
Text message template , msdyn_salesocsmstemplate , msdyn_salesocsmstemplateid , msdyn_title
salesroutingdiagnostic , msdyn_salesroutingdiagnostic , msdyn_salesroutingdiagnosticid , msdyn_name
Sales routing run , msdyn_salesroutingrun , msdyn_salesroutingrunid , msdyn_name
Insight , msdyn_salessuggestion , msdyn_salessuggestionid , msdyn_name
Sales Tag , msdyn_salestag , msdyn_salestagid , msdyn_tagname
msdyn_salestag_msdyn_sequence , msdyn_salestag_msdyn_sequence , msdyn_salestag_msdyn_sequenceid , 
SARunInstance , msdyn_saruninstance , msdyn_saruninstanceid , msdyn_name
Schedule , msdyn_schedule , msdyn_scheduleid , msdyn_schedule
Schedule Board Setting , msdyn_scheduleboardsetting , msdyn_scheduleboardsettingid , msdyn_tabname
Scheduling Feature Flag , msdyn_schedulingfeatureflag , msdyn_schedulingfeatureflagid , msdyn_name
Scheduling Parameter , msdyn_schedulingparameter , msdyn_schedulingparameterid , msdyn_name
SCI Conversation , msdyn_sciconversation , msdyn_sciconversationid , msdyn_name
Custom Email Highlight , msdyn_scicustomemailhighlight , msdyn_scicustomemailhighlightid , msdyn_name
Custom Highlight , msdyn_scicustomhighlight , msdyn_scicustomhighlightid , msdyn_name
Custom Publisher , msdyn_scicustompublisher , msdyn_scicustompublisherid , msdyn_name
EnvironmentSettings , msdyn_scienvironmentsettings , msdyn_scienvironmentsettingsid , msdyn_name
UserSettings , msdyn_sciusersettings , msdyn_sciusersettingsid , msdyn_name
Search Configuration , msdyn_searchconfiguration , msdyn_searchconfigurationid , msdyn_name
Segment , msdyn_segment , msdyn_segmentid , msdyn_name
segmentsetting , msdyn_segmentationsetting , msdyn_segmentationsettingid , msdyn_name
Segment property , msdyn_segmentattribute , msdyn_segmentattributeid , msdyn_name
SegmentsUtil , msdyn_segmentcatalogue , msdyn_segmentcatalogueid , msdyn_name
Sentiment analysis , msdyn_sentimentanalysis , msdyn_sentimentanalysisid , msdyn_name
Sequence , msdyn_sequence , msdyn_sequenceid , msdyn_name
Sequence Stat , msdyn_sequencestat , msdyn_sequencestatid , msdyn_name
Sequence Target , msdyn_sequencetarget , msdyn_sequencetargetid , msdyn_name
Sequence Target Step , msdyn_sequencetargetstep , msdyn_sequencetargetstepid , msdyn_name
Sequence Template , msdyn_sequencetemplate , msdyn_sequencetemplateid , msdyn_name
Service Configuration , msdyn_serviceconfiguration , msdyn_serviceconfigurationid , msdyn_name
Service Copilot Plugin , msdyn_servicecopilotplugin , msdyn_servicecopilotpluginid , msdyn_name
Service Copilot Plugin Role , msdyn_servicecopilotpluginrole , msdyn_servicecopilotpluginroleid , msdyn_name
Sales provisioning request , msdyn_serviceoneprovisioningrequest , msdyn_serviceoneprovisioningrequestid , msdyn_name
Session Data (Deprecated) , msdyn_sessiondata , msdyn_sessiondataid , msdyn_name
Session event , msdyn_sessionevent , msdyn_sessioneventid , msdyn_name
Session participant , msdyn_sessionparticipant , msdyn_sessionparticipantid , msdyn_name
Session Participant Data (Deprecated) , msdyn_sessionparticipantdata , msdyn_sessionparticipantdataid , msdyn_name
Session Template , msdyn_sessiontemplate , msdyn_sessiontemplateid , msdyn_name
msdyn_sessiontemplate_applicationtab , msdyn_sessiontemplate_applicationtab , msdyn_sessiontemplate_applicationtabid , 
ShareAs Configuration , msdyn_shareasconfiguration , msdyn_shareasconfigurationid , msdyn_shareashashid
siconfig , msdyn_siconfig , msdyn_siconfigid , msdyn_version
SI Key Value Config , msdyn_sikeyvalueconfig , msdyn_sikeyvalueconfigid , msdyn_configkey
Similar entities feature importance , msdyn_similarentitiesfeatureimportance , msdyn_similarentitiesfeatureimportanceid , msdyn_entitytype
Skill Attachment Rule , msdyn_skillattachmentruleitem , msdyn_skillattachmentruleitemid , msdyn_name
Attach Skill , msdyn_skillattachmenttarget , msdyn_skillattachmenttargetid , msdyn_name
SLA KPI , msdyn_slakpi , msdyn_slakpiid , msdyn_name
Smartassist configuration , msdyn_smartassistconfig , msdyn_smartassistconfigid , msdyn_name
msdyn_smartassistconfig_msdyn_appconfig , msdyn_smartassistconfig_msdyn_appconfig , msdyn_smartassistconfig_msdyn_appconfigid , 
Solution Component Count Data Source , msdyn_solutioncomponentcountdatasource , msdyn_solutioncomponentcountdatasourceid , msdyn_name
Solution Component Count Summary , msdyn_solutioncomponentcountsummary , msdyn_solutioncomponentcountsummaryid , msdyn_name
Solution Component Data Source , msdyn_solutioncomponentdatasource , msdyn_solutioncomponentdatasourceid , msdyn_name
Solution Component Summary , msdyn_solutioncomponentsummary , msdyn_solutioncomponentsummaryid , msdyn_name
Solution Health Rule , msdyn_solutionhealthrule , msdyn_solutionhealthruleid , msdyn_name
